actor_1_name,actor_1_facebook_likes
Amy Bruni,155.00
Phil Vischer,23.00
Janet Jackson,592.00
Mike Epps,706.00
Linda Blair,931.00
Lily Tomlin,718.00
Peter Mensah,1000.00
Monica Potter,878.00
Thomas McDonell,962.00
Emmanuelle Seigner,413.00
Derek Luke,543.00
Melissa Sagemiller,159.00
Seth Gilliam,423.00
Lesley Manville,149.00
Mathieu Amalric,412.00
Sebastian Koch,380.00
Woo-sung Jung,149.00
John Heard,697.00
Krystyna Janda,20.00
Jacek Koman,70.00
Belén Rueda,273.00
Jason Mewes,898.00
Usher Raymond,569.00
Sean Patrick Thomas,656.00
Tuesday Knight,130.00
Jack Palance,549.00
Óscar Jaenada,619.00
Chris Elliott,571.00
Kathleen Turner,899.00
Jenny Agutter,659.00
Elina Alminas,149.00
Teo Halm,803.00
Yuki Matsuzaki,378.00
Don Rickles,721.00
Michael Nyqvist,690.00
Justin Chon,552.00
Burt Young,683.00
John Boyega,1000.00
Jelena Jovanova,306.00
Steve Irwin,477.00
Dameon Clarke,170.00
Rae Dawn Chong,581.00
Gabriel Millman,13000.00
Julian Morris,1000.00
David Niven,490.00
Richard Johnson,77.00
Catherine Deneuve,963.00
Isabella Rossellini,812.00
Min-sik Choi,717.00
Sean Young,759.00
Alex Veadov,93.00
Shelley Duvall,629.00
Britney Spears,1000.00
Dax Flame,971.00
George C. Scott,654.00
Steven Mackintosh,227.00
Lexie Contursi,28.00
Talia Shire,452.00
Illeana Douglas,347.00
Tammin Sursok,836.00
Nat Wolff,733.00
Common,988.00
Jürgen Prochnow,362.00
Heather Matarazzo,529.00
Tom Hughes,565.00
Nate Parker,664.00
Gary Weeks,452.00
Melanie Griffith,537.00
Jill Clayburgh,433.00
Anika Noni Rose,525.00
Doona Bae,629.00
Jeremy Davies,769.00
Toni Servillo,211.00
Mia Wasikowska,3000.00
Li Gong,878.00
David Richmond-Peck,60.00
Eamonn Walker,706.00
Eva Amurri Martino,797.00
Marcell Nagy,9.00
Honglei Sun,9.00
David Hewlett,686.00
Ye Liu,52.00
Richard Coyle,567.00
Rachael Carpani,181.00
Jacob Vargas,399.00
Gary Daniels,551.00
Miko Hughes,969.00
Tatsuo Matsumura,15.00
Wei Tang,215.00
Phoebe Cates,767.00
Wagner Moura,585.00
Lucas Grabeel,755.00
Zoe Ventoura,84.00
Corbin Bernsen,1000.00
Lily Cole,785.00
Lauren German,683.00
Lois Smith,276.00
Madeline Kahn,1000.00
Steven Bauer,636.00
Louise Fletcher,425.00
Lee Majors,799.00
Luke Newberry,358.00
Patricia Tallman,901.00
Jaime King,960.00
Michael McKean,658.00
Phyllida Law,60.00
Sam Riley,845.00
John Cassavetes,917.00
Nora Dunn,142.00
John Howard,172.00
Shah Rukh Khan,8000.00
Keir Dullea,273.00
Henry Thomas,861.00
Ricky Schroder,665.00
Antonia Thomas,381.00
Arjun Rampal,564.00
Jon Gries,482.00
Santiago Cabrera,639.00
Karin Viard,68.00
Deborah Kara Unger,494.00
Boris Kodjoe,1000.00
Richard Burton,726.00
Lane Smith,633.00
Tina Turner,794.00
Lauren Cohan,4000.00
Jeff Fahey,535.00
Laila Haley,1000.00
Billy Drago,371.00
Jurnee Smollett-Bell,2000.00
David Zayas,929.00
Tina Desai,220.00
Julia Ormond,918.00
Ben Feldman,1000.00
Steve Oedekerk,176.00
Reba McEntire,651.00
Byron Mann,258.00
Wendi McLendon-Covey,655.00
Harry Styles,773.00
Chase Ellison,772.00
Jasper Cole,1000.00
Sophie Okonedo,460.00
Michaela Conlin,1000.00
Daniel Sharman,1000.00
Johannes Silberschneider,24.00
Dylan Moran,427.00
Bernadette Peters,753.00
Flavio Parenti,144.00
Robert Picardo,823.00
Peter Fonda,402.00
Eric Stoltz,902.00
Cliff Robertson,754.00
Scott Mechlowicz,634.00
Gillian White,1000.00
Eoin Macken,533.00
Miranda Richardson,530.00
Naseeruddin Shah,307.00
Bruce Greenwood,990.00
Bashar Rahal,603.00
Wei Zhao,478.00
Vincent Gallo,787.00
Isabelle Huppert,678.00
Numan Acar,374.00
Kip Pardue,374.00
Danny Dyer,798.00
Jorge Luis Moreno,78.00
Adrian Martinez,806.00
Stephanie Szostak,1000.00
Madison Pettis,835.00
Nicholas Hamilton,147.00
Drew Fuller,906.00
Jim Carter,439.00
Damian Walshe-Howling,122.00
Teryl Rothery,298.00
Shane Pollard,485.00
Veronica Ferres,30000.00
Ingvar Eggert Sigurðsson,63.00
Sendhil Ramamurthy,1000.00
Jimi Mistry,183.00
Kang-ho Song,398.00
Tyler Mane,764.00
Danny Pino,786.00
Daniella Alonso,557.00
Carmen Maura,148.00
John Vernon,187.00
Jizelle Jade,33000.00
Bárbara Mori,594.00
Noah Taylor,509.00
Topol,402.00
Riccardo Scamarcio,580.00
Catherine Hicks,311.00
Michael Moore,909.00
Noel Gugliemi,2000.00
Don Ameche,392.00
Kristin Lehman,187.00
Ronn Moss,177.00
Emma Bell,702.00
Jung-min Hwang,45.00
Sarunyu Wongkrachang,7.00
Lambert Wilson,186.00
Q'orianka Kilcher,679.00
Jacqueline McKenzie,185.00
Lars Mikkelsen,573.00
Harrison Gilbertson,174.00
Dee Bradley Baker,668.00
David Keith,563.00
Jane Fonda,949.00
Bjørn Sundquist,35.00
Jacinda Barrett,579.00
Mariah Carey,736.00
Abigail Spencer,1000.00
Yu-mi Jeong,28.00
Robert Redford,0.00
Mary Elizabeth Mastrantonio,638.00
Katrina Kaif,3000.00
Padraic Delaney,97.00
Ranbir Kapoor,964.00
Peter Ustinov,440.00
Necati Sasmaz,205.00
Eleanor Parker,354.00
Marshall Bell,217.00
Noah Huntley,133.00
Jennifer Freeman,389.00
James Kyson,449.00
Mackenzie Davis,363.00
Brian Doyle-Murray,484.00
Tina Gilton,861.00
Telly Savalas,803.00
Nick Wechsler,666.00
Stephen Collins,452.00
Alexandra Maria Lara,471.00
Christopher Nicholas Smith,434.00
Cameron Monaghan,1000.00
Faye Dunaway,977.00
Sean Lennon,61.00
Alexia Fast,553.00
Ian Tracey,144.00
Mitsuo Iwata,6.00
Stephen McHattie,413.00
Rachel Ann Mullins,31000.00
Leehom Wang,163.00
Celia Imrie,186.00
Mckenna Grace,502.00
Spencer Wilding,1000.00
Scott Takeda,981.00
Françoise Yip,186.00
Joely Richardson,584.00
Molly Parker,611.00
Eric Johnson,373.00
Sandrine Kiberlain,71.00
Akon,262.00
Saif Ali Khan,532.00
Max Riemelt,287.00
George Coe,488.00
Darren Shahlavi,294.00
Michael Nouri,225.00
Sullivan Stapleton,1000.00
MyAnna Buring,513.00
Sid Haig,1000.00
Kimberly Elise,637.00
Bernard Fox,246.00
Michael Stuhlbarg,816.00
Irvin Kershner,883.00
Jonathan Brandis,761.00
Indira Varma,729.00
Roy Billing,116.00
Michael J. Pollard,206.00
Melinda Clarke,787.00
Ezra Miller,3000.00
Samantha Barks,2000.00
Nathalie Fay,227.00
Geoff Stults,756.00
Lynn Cohen,474.00
Leonid Yarmolnik,4.00
Michael Wong,91.00
Erin Fitzgerald,99.00
Debi Derryberry,122.00
Ben Browder,878.00
Gordon Pinsent,149.00
Rex Baker,15000.00
Heike Makatsch,177.00
Glenn Plummer,240.00
Lubna Azabal,131.00
Laura Morante,60.00
Deborah Mailman,46.00
John Cothran,27.00
Rita Moreno,804.00
Angie Dickinson,754.00
Greg Germann,435.00
David Wayne,116.00
Leon,730.00
Merab Ninidze,56.00
Emily Podleski,1000.00
Florian Lukas,65.00
Linnea Quigley,431.00
Maria Pia Calzone,18.00
Olivia Newton-John,1000.00
Osama bin Laden,503.00
Katharine Ross,640.00
Ed Wynn,382.00
Lisa Wilcox,321.00
Tisha Campbell-Martin,413.00
Sammo Kam-Bo Hung,472.00
Hugh M. Hefner,373.00
Francis Capra,937.00
John Cameron Mitchell,263.00
Antoni Corone,97.00
Rachel Alig,397.00
Chelcie Ross,244.00
William Holden,682.00
Lesley-Anne Down,187.00
Michael Berryman,721.00
Benoît Magimel,173.00
James Nesbitt,773.00
Noam Chomsky,103.00
Catherine Bell,636.00
Pruitt Taylor Vince,592.00
Drew Waters,848.00
Debbie Harry,391.00
Yorick van Wageningen,163.00
Jeanne Moreau,343.00
Simon Bird,229.00
Wesley Jonathan,592.00
Asin,634.00
Jonathan D. Mellor,37.00
Kayla Jackson,25.00
Alice Krige,368.00
Stephen Macht,113.00
Jean-Baptiste Maunier,517.00
Paul Sorvino,636.00
Alexis Dziena,715.00
Ruby Dee,782.00
Jean-Pierre Léaud,232.00
Philippe Nahon,56.00
Lindsay Kay Hayward,31.00
Anupam Kher,397.00
Kim Shaw,934.00
Aksel Hennie,286.00
Russell Tovey,796.00
Campbell Scott,393.00
Teresa Wright,208.00
Abhishek Bachchan,374.00
Johanna Braddy,581.00
John Saxon,506.00
Eugenio Derbez,399.00
Matt Shively,235.00
Burt Kwouk,462.00
Richard Cabral,510.00
James Lafferty,972.00
William Schallert,901.00
Tony Bonner,492.00
John Beasley,205.00
Gene Tierney,535.00
Kane Hodder,935.00
Maribel Verdú,269.00
Peter Serafinowicz,605.00
Jessica Lowndes,1000.00
Warren Christie,520.00
Sterling Jerins,155.00
Vanna Bonta,21000.00
Gina Lollobrigida,746.00
Fred Willard,729.00
Gary Cooper,998.00
Lara Jill Miller,93.00
Marie-Josée Croze,150.00
Robert Shaw,559.00
Brendan Fehr,847.00
Fran Drescher,859.00
Claudia Cardinale,973.00
Norbert Ferrer,55.00
Cassandra Peterson,922.00
Kim Dickens,624.00
Dana Delany,722.00
Alia Shawkat,727.00
Liza Minnelli,740.00
Andrew Wilson,387.00
Akshaye Khanna,75.00
Jeffrey Frost,6.00
Raymond Burr,311.00
Judith Anderson,197.00
Meghan Ory,889.00
Ocean James,432.00
Mike Figueroa,343.00
Glenn Campbell,46.00
Luis Tosar,331.00
Dave Legeno,570.00
Teri Polo,708.00
James Frain,1000.00
David Huddleston,1000.00
David Raizor,784.00
Mikal Vega,741.00
Julia Jentsch,61.00
Udo Kier,595.00
Katy Mixon,982.00
Alex Rocco,968.00
Bill Johnson,237.00
Maria Conchita Alonso,571.00
Bhama,5.00
Keith Carradine,584.00
Sara Forestier,74.00
William Kircher,109.00
Brooke Shields,1000.00
Royal Dano,232.00
Dan Fogler,562.00
Dana Andrews,188.00
Mía Maestro,341.00
Alex Kendrick,589.00
Jaime Camil,274.00
Jan Decleir,25.00
Rich Pecci,1000.00
Nicolas Giraud,24.00
Simon Yam,155.00
Oksana Akinshina,129.00
Jimmy Shergill,327.00
Katherine McNamara,19000.00
Sid Caesar,898.00
Nimrat Kaur,85.00
Fabian Bolin,309.00
Vidya Balan,464.00
Yangzom Brauen,29.00
Art Hindle,110.00
Julian Richings,648.00
Judith O'Dea,125.00
Gloria Grahame,232.00
Molly C. Quinn,707.00
Austin Pendleton,597.00
Meg Foster,355.00
Marlee Matlin,847.00
Ellar Coltrane,230.00
Angell Conwell,522.00
Montgomery Clift,862.00
Geraldine Chaplin,382.00
Ashley Rickards,986.00
Roscoe Lee Browne,204.00
Michael Wincott,721.00
Anna Gunn,1000.00
Stephanie Leonidas,420.00
Collin Alfredo St. Dic,48.00
Kylie Minogue,690.00
Peter McNamara,419.00
Lauren Ambrose,945.00
Hector Kotsifakis,623.00
Noah Emmerich,617.00
Anna Friel,736.00
Rachel Griffiths,578.00
Connor Paolo,530.00
Doug Brochu,254.00
Ed Speleers,762.00
Saad Siddiqui,223.00
Jean Harlow,431.00
Lily Rabe,763.00
Robin McLeavy,399.00
Kristen Quintrall,166.00
Eric Mabius,637.00
Rachel Hendrix,544.00
Hattie McDaniel,503.00
Tom Cullen,507.00
Keenan Wynn,277.00
Kayvan Novak,414.00
Fernanda Montenegro,119.00
Gladys Cooper,89.00
Alice Olivia Clarke,117.00
Brenda Vaccaro,183.00
Peter Graves,628.00
Ta'Rhonda Jones,912.00
Slim Pickens,575.00
John Forsythe,255.00
Colleen Dewhurst,157.00
Bernard Cribbins,195.00
Joe Estevez,625.00
John Mahoney,385.00
Ricardo Darín,827.00
Gideon Emery,430.00
Ted Raimi,634.00
Wanda Sykes,560.00
Elpidia Carrillo,174.00
Otto Jespersen,29.00
Diahann Carroll,426.00
Jane Goodall,21.00
Chris Brochu,795.00
Murray Bartlett,141.00
Corbin Bleu,632.00
Thomas Bo Larsen,74.00
Armando Riesco,625.00
Roddy McDowall,595.00
François Bégaudeau,15.00
Lee Marvin,756.00
Catalina Sandino Moreno,280.00
Honor Blackman,387.00
Sarah Gadon,691.00
Donna Reed,488.00
Sprague Grayden,438.00
Clu Gulager,426.00
Rhys Wakefield,942.00
Danielle Kotch,1000.00
Nancy O'Dell,71.00
Burl Ives,253.00
Linda Harrison,220.00
Veronica Taylor,88.00
Ed Lauter,897.00
Fred MacMurray,516.00
Tamara Toumanova,18.00
Common,989.00
Shirley Jones,556.00
Maximilian Schell,877.00
Matthew Senreich,11.00
Seamus Davey-Fitzpatrick,140.00
John Astin,641.00
Angus Scrimm,674.00
John Abraham,1000.00
Callie Thorne,472.00
Peter Ostrum,240.00
Kristy Swanson,578.00
Greta Gerwig,962.00
Eddie Griffin,489.00
Robyn Lively,439.00
Kevin Pollak,574.00
William Morgan Sheppard,702.00
Michael Gross,536.00
Susan Hampshire,40.00
Alicja Bachleda,289.00
Johnny Pacar,1000.00
Matt Cohen,487.00
Neil Hopkins,231.00
Tom Everett Scott,433.00
John Savage,652.00
French Stewart,319.00
Everett McGill,201.00
Ann-Margret,931.00
Anthony L. Fernandez,640.00
Dyan Cannon,267.00
Olivia Rose Keegan,216.00
Greg Crowe,875.00
Cécile De France,447.00
Maeve Dermody,130.00
Isaac Hayes,275.00
Nehemiah Persoff,105.00
Margaret Hamilton,695.00
Megan Park,569.00
Teri Garr,481.00
Bhavkhandan Singh Rakhra,258.00
Iben Hjejle,122.00
Rijk de Gooyer,20.00
Spencer Tracy,760.00
Judie Aronson,158.00
Joanna Kulig,88.00
Rupert Graves,443.00
Gerry Lopez,52.00
Karra Elejalde,123.00
Jack Kao,11.00
Brianna Brown,331.00
Joe Cross,65.00
Essence Atkins,713.00
Barack Obama,871.00
Tom Atkins,381.00
Patricia Neal,617.00
David Jason Perez,1000.00
Hanno Pöschl,15.00
Patrick Huard,50.00
Joan Chen,643.00
Satish Kaushik,56.00
Bill Maher,334.00
Dustin Lance Black,191.00
Benno Fürmann,127.00
Leonor Varela,426.00
Ashley Scott,794.00
Anthony 'Citric' Campos,586.00
Simon Merrells,490.00
Esther Williams,675.00
Jossara Jinaro,847.00
Agnes Moorehead,960.00
Leopold Stokowski,16.00
Nicole Smolen,210.00
Richard Brooker,72.00
Tiffany Helm,42.00
Brian Austin Green,676.00
Jessica Tandy,509.00
Saeed Jaffrey,114.00
Rachel Skarsten,371.00
Myrna Loy,749.00
Jørgen Langhelle,117.00
Michael Derek,128.00
Manuela Velasco,120.00
Travis Myers,749.00
Walter Hendrix III,846.00
James Ransone,412.00
Phoebe Legere,40.00
Carroll O'Connor,480.00
Maika Monroe,314.00
Vernon Wells,745.00
James Mason,618.00
Alicia Goranson,173.00
Eric Sheffer Stevens,120.00
Ben Davies,690.00
Hedy Lamarr,1000.00
Michel Robin,23.00
Michael Greyeyes,912.00
Vernon Dobtcheff,50.00
Adriana Barraza,85.00
Nicholas Aaron,21.00
Tyrone Power,480.00
Najarra Townsend,538.00
Vanessa Lengies,804.00
Henry Silva,251.00
Kathleen Wilhoite,265.00
Stephen Colbert,459.00
Sook-Yin Lee,71.00
Ari Folman,56.00
Noah Danby,178.00
John F. Kennedy,168.00
Bruce Greenwood,991.00
Danny Aiello,388.00
Alanna Ubach,584.00
Matt Bennett,189.00
Jess Weixler,386.00
Jeffrey Falcon,33.00
Karisma Kapoor,353.00
Paul Kaye,326.00
Merritt Wever,529.00
Brad William Henke,363.00
Jordi Vilasuso,160.00
Rapulana Seiphemo,29.00
Mackenzie Gray,253.00
Peter McQuinn,121.00
Daniel Baldwin,413.00
Alice Cooper,674.00
Paul Sheehan,473.00
Steven Weber,685.00
Rita Hayworth,1000.00
Mircea Monroe,633.00
Sunil Narkar,34000.00
Kate Maberly,416.00
Jon Mack,924.00
Buster Keaton,907.00
Trenton Rostedt,680.00
Melissa Bolona,11000.00
Paul McGillion,405.00
Khalid Abdalla,161.00
Karl E. Landler,533.00
Lauren Gottlieb,733.00
Paul McGill,41.00
Siobhan Marshall,42.00
Logan Browning,628.00
Caleb Landry Jones,463.00
Damián Alcázar,201.00
Donna Murphy,553.00
Hansika Motwani,141.00
Tshewang Dendup,0.00
Humphrey Bogart,2000.00
George Newbern,647.00
Kimberley Crossman,467.00
Christian Keyes,761.00
James Duval,701.00
Matthew Alan,86.00
Sarah Butler,635.00
Ally Walker,349.00
Nawazuddin Siddiqui,638.00
Jean Arthur,319.00
Harry Carey Jr.,281.00
Shawnee Smith,651.00
Yasmine Al Massri,227.00
Ohad Knoller,53.00
Annabelle Wallis,421.00
Dustin Ingram,427.00
Lew Temple,597.00
William Baldwin,436.00
Scott Cohen,378.00
Matthew Ziff,260000.00
Norman Lloyd,472.00
Ami Ayalon,0.00
Beau Bridges,552.00
Donald Glover,801.00
Ward G. Smith,393.00
Paul Guilfoyle,210.00
Jessy Schram,813.00
Joel David Moore,936.00
Paulette Goddard,309.00
Jay Mohr,563.00
Brian Lee Franklin,38.00
Angela Sarafyan,310.00
Morgana O'Reilly,61.00
Lee Scott,0.00
Nicole Muñoz,199.00
Monica Barladeanu,129.00
Ashanti,341.00
Brighton Sharbino,3000.00
Katrina Law,835.00
Timothy Hutton,501.00
Adriana Caselotti,82.00
Brigitte Bardot,984.00
Zak Penn,87.00
Camren Bicondova,756.00
Jessica Szohr,847.00
Burgess Meredith,1000.00
Karl Malden,416.00
Ulrich Thomsen,280.00
Long Nguyen,51.00
James Morrison,210.00
Elina Abai Kyzy,0.00
Maury Chaykin,232.00
Noureen DeWulf,700.00
Betsy Palmer,309.00
Ray Milland,287.00
Vic Mignogna,578.00
Geoffrey Arend,816.00
Zuhair Haddad,18000.00
Ximena Ayala,31.00
Jerry Mathers,282.00
Spring Byington,94.00
Alex Huszar,61.00
Jason Marsden,1000.00
Lemmy,268.00
,
Déborah Révy,34.00
Nataniel Sánchez,3.00
Rich Ceraulo,387.00
Errol Flynn,843.00
Christie Burke,380.00
Redd Foxx,586.00
Seregon O'Dassey,498.00
Richard Cawthorne,511.00
Terry Kiser,448.00
Sarah Murphy-Dyson,14.00
Sean Cameron Michael,412.00
Chris Gauthier,434.00
Iko Uwais,1000.00
Piero Maggiò,12.00
Talia Zucker,12.00
Christopher Abbott,321.00
Shelley Hennig,707.00
Ursula Andress,650.00
Andrew Robinson,266.00
Benjamin A. Onyango,634.00
Hiroshi Abe,43.00
Fernanda Andrade,403.00
James Drury,356.00
Billy West,861.00
James Brown,183.00
Mick Jagger,543.00
Juliet Stevenson,202.00
W. Earl Brown,422.00
Michael Pollan,37.00
Gaby Hoffmann,612.00
Sheryl Crow,130.00
Kevin Corrigan,778.00
Sonja Sohn,245.00
Trey Parker,406.00
Cheech Marin,844.00
Shahir Kabaha,20.00
Steven Yeun,7000.00
Shiri Appleby,855.00
Anwar Congo,3.00
Alex Gibney,141.00
Pelé,102.00
Kumar Gaurav,12.00
Josh Swanson,53.00
G.W. Krauss,20.00
Emraan Hashmi,724.00
Lena Dunham,969.00
Harvey Fierstein,499.00
Patrick Renna,590.00
Yul Vazquez,96.00
Will Rothhaar,386.00
Jordana Spiro,262.00
Nora Zehetner,446.00
Frances Bay,491.00
Scott Levy,639.00
Kenny Johnston,327.00
Rasheed Naz,7.00
Ilene Graff,442.00
Jason Ritter,782.00
Nicole Randall Johnson,363.00
Randy Wayne,984.00
Oliver Reed,694.00
Russell Hodgkinson,199.00
Maureen McCormick,458.00
Álex Angulo,90.00
Katie Aselton,224.00
David Oakes,335.00
Magi Avila,92.00
Boyd Banks,57.00
Angelina Armani,677.00
Jason K. Wixom,214.00
Justin Baldoni,657.00
Monique Candelaria,696.00
Eric Lloyd,775.00
Kimberly Williams-Paisley,529.00
Alma Martinez,56.00
Justin Kirk,945.00
Anamaria Marinca,131.00
Odessa Rae,109.00
Sarah Kazemy,144.00
Ahna O'Reilly,282.00
Sam Edwards,16.00
John Enos III,465.00
Stana Roumillac,0.00
James Wolk,938.00
Gavin MacLeod,284.00
Lorraine Stanley,418.00
Tommy O'Reilly,1000.00
Shahab Hosseini,786.00
Jo Hartley,49.00
Allison Dean,159.00
Victor Rasuk,302.00
Louise Brooks,426.00
Norma Aleandro,24.00
Zachary Knighton,262.00
Shane Dawson,247.00
Corbin Allred,214.00
Taylor Pigeon,134.00
Scott Helvenston,25.00
Isaac C. Singleton Jr.,312.00
Jean-Louis Trintignant,319.00
Raymond J. Barry,108.00
Luke Grimes,935.00
Dichen Lachman,717.00
William Gates,7.00
Kevin Scott Richardson,262.00
Adam LeFevre,80.00
Laura Fraser,601.00
Irene Bedard,752.00
Hill Harper,465.00
Trey Loney,977.00
Richard Curtis,628.00
Leven Rambin,956.00
Ginger Rogers,610.00
Heather Donahue,170.00
Joe Cocker,262.00
David Zucker,119.00
Stacy Keach,602.00
Kendyl Joi,23.00
Aliou Touré,0.00
Karen Alexander,0.00
Russell Wong,595.00
Paula Garcés,587.00
Paul McCartney,785.00
Dario Nozic Serini,0.00
Kirk Cameron,848.00
Bhole Baba,0.00
Frances Bavier,407.00
Blanchard Ryan,48.00
Woody Strode,423.00
Heather Berman,0.00
Ken Burns,196.00
Terry Funk,54.00
Kirby Heyborne,69.00
Marina Golbahari,30.00
Rachel Dratch,399.00
Rachel True,328.00
Sasha Alexander,980.00
Edie Falco,659.00
Monica Calhoun,597.00
David Mamet,342.00
Takashi Shimura,304.00
Tommy Sheppard,14.00
Monique Gabriela Curnen,239.00
Haley Ramm,353.00
Tori Spelling,396.00
Bo Huang,4.00
Brian Eno,30.00
Daston Kalili,2.00
Carol Channing,387.00
Vincent Chimato,685.00
Emma Caulfield,970.00
Mike Beckingham,358.00
Shaun Sipos,322.00
Manny Perez,159.00
Jennifer Hale,918.00
Mary Kate Wiles,84.00
Carrie Bradstreet,466.00
Elizabeth Streb,0.00
Mike Stanley,385.00
Patrick Kilpatrick,488.00
Lawrence Gilliard Jr.,353.00
Luis Sanchez,472.00
John Karyus,907.00
Jennifer Lafleur,873.00
Bob Proctor,8.00
Chris Eigeman,88.00
Jack E. Curenton,847.00
Micah Sloat,189.00
Tony Alva,22.00
Emily Rios,231.00
Tony Doupe,361.00
Greg Ayres,58.00
Bill Farmer,93.00
Catriona MacColl,48.00
Brendon Small,59.00
Treat Williams,642.00
Dov Tiefenbach,108.00
R. Brandon Johnson,169.00
Liv Ullmann,440.00
Lillian Gish,436.00
Walter Koenig,643.00
Anita Page,77.00
America Olivo,470.00
Amos Oz,3.00
Mark Zupan,15.00
Michael Dudikoff,615.00
Carol Block,0.00
Tom E. Nicholson,196.00
Jack Warden,359.00
Claudette Colbert,380.00
Angeliki Papoulia,47.00
James Cagney,786.00
Kimberly J. Brown,409.00
Simon Abkarian,75.00
Kevin Howarth,19.00
Daniel London,52.00
John Robinson,375.00
Embeth Davidtz,795.00
Jean-Paul Belmondo,710.00
Vera Ngassa,2.00
Robert John Burke,318.00
Don Wallace,54.00
Lalaine,502.00
Trish Basinger,644.00
Tatyana Ali,685.00
Michael Des Barres,156.00
Rumi Missabu,19.00
Dreama Walker,601.00
Aunjanue Ellis,400.00
Hector Echavarria,466.00
Parry Shen,94.00
Nicole Ari Parker,360.00
Purva Bedi,250.00
Keri Maletto,569.00
Charis Michelsen,5.00
Amir Talai,308.00
Marshal Hilton,471.00
Ally Sheedy,793.00
Samantha Futerman,100.00
Nolan Gerard Funk,924.00
Judy Marte,68.00
Michael Abbott Jr.,35.00
James Urbaniak,119.00
Dustin Fitzsimons,349.00
Eme Ikwuakor,135.00
Florence Henderson,337.00
Victoria Jackson,338.00
Sam Adams,0.00
Noah Segan,236.00
Joshua Ray Bell,288.00
John Gilbert,81.00
Matthew Emerick,431.00
Mark Fantasia,814.00
Brendan Doogie Milewski,2.00
Dan Futterman,254.00
Christina Hart,12.00
Kenneth Tobey,57.00
Hugh Keays-Byrne,728.00
Mae West,418.00
The Dalai Lama,66.00
Michael Joiner,77000.00
Devid Striesow,24.00
William Joseph Elk III,96.00
Matisyahu,178.00
Marri Savinar,471.00
Melanie Papalia,259.00
Susan Chambers,138.00
Marina Vlady,27.00
Hanne Aagesen,0.00
William Katt,505.00
Darryl Hunt,2.00
John Newton,236.00
Elaine Bromka,178.00
Paul Hickert,110.00
Bahare Seddiqi,36.00
S. Epatha Merkerson,539.00
Abigail Evans,0.00
Iulia Ciochina,0.00
Robin Lord Taylor,574.00
Charla Cochran,270.00
Bebe Neuwirth,376.00
Glen Hansard,200.00
Marilyn Rising,142.00
Temple Grandin,58.00
Alan Brent,498.00
Joel Moody,52.00
Peter Robbins,39.00
Naderev Sano,0.00
Lisa Ann,502.00
Ariel Hsing,0.00
J.D. Williams,196.00
Christopher Denham,120.00
Mark Duplass,830.00
Diane Sorrentino,17.00
Philippe Leroy,12.00
Jason Stuart,990.00
Richard Moll,206.00
Pfeifer Brown,220.00
Hal Landon Jr.,195.00
Stephen Carr,2.00
Robert Townsend,467.00
Leon Isaac Kennedy,116.00
Fay Masterson,126.00
Kevin P. Farley,143.00
Jonathan Blow,0.00
Sheldon Leonard,142.00
Claire Gordon-Harper,416.00
Jon Brion,45.00
Jack McGee,238.00
Michelle Simone Miller,118.00
Chemeeka Walker,0.00
Virginia Leith,24.00
Ty Parker,267.00
Justin Gordon,35.00
Shari Albert,138.00
Paul Daniel Ayotte,111.00
Marcello Mastroianni,866.00
Dan Novy,19.00
Chris 'Wonder' Schoeck,0.00
Taliesin Jaffe,26.00
Jan Haley,695.00
Paul Schneider,552.00
Derick Martini,20000.00
Elissa Dowling,307.00
Ringo Starr,725.00
Julianne Gabert,252.00
Joseph Campanella,32.00
Andrew Bujalski,26.00
Nichole Ceballos,5.00
Don Brooks,0.00
Stacy Edwards,136.00
Franky G,93.00
Tommy Pallotta,5.00
Tjasa Ferme,313.00
Kristen Seavey,370.00
Shannen Fields,51.00
Ashley Tramonte,630.00
Robbie Barnes,720.00
Paul Ogola,147.00
Zoe Lister-Jones,331.00
Sean Whalen,407.00
Divine,462.00
Maggie Cheung,576.00
Fereshteh Sadre Orafaiy,5.00
Patrick O'Donnell,10.00
Kôji Yakusho,89.00
Tatiana Suarez-Pico,21.00
Julianna Pitt,785.00
Shane Carruth,291.00
Ian Gamazon,0.00
Carlos Gallardo,121.00
Richard Jewell,45.00
Kerry Bishé,296.00
Natalie Zea,841.00
Eva Boehnke,0.00
John August,86.00
Rory Kinnear,393.00
Rob Walker,12.00
Samantha Morton,632.00
Pierfrancesco Favino,216.00
Adam Brown,972.00
Thomas Kretschmann,919.00
Helen McCrory,563.00
Kevin Dunn,581.00
Temuera Morrison,368.00
Ewen Bremner,557.00
Elizabeth Debicki,509.00
Lester Speight,829.00
Jack McGraw,150.00
Melissa Roxburgh,119.00
Dana Ivey,268.00
Liam James,468.00
Kiran Shah,190.00
Robin Atkin Downes,336.00
Lara Pulver,854.00
Rick Aviles,60.00
Mindy Kaling,767.00
Alice Englert,525.00
Kathy Griffin,225.00
Chris Bauer,638.00
Daniel Henney,719.00
Eddie Deezen,726.00
M.C. Gainey,284.00
Shin'ya Tsukamoto,106.00
Omar Benson Miller,418.00
Emilia Clarke,10000.00
Shane Rangi,82.00
Collin Chou,269.00
Maurice LaMarche,523.00
Daniel Bernhardt,198.00
Piper Mackenzie Harris,607.00
Noah Ringer,756.00
Jake Weber,551.00
Cara Delevingne,548.00
Zach Callison,1000.00
Kate McKinnon,370.00
Kamil McFadden,315.00
María Valverde,893.00
